"","c7","c8","c11","c12","c14","c17","c18","c1","c2","c5","c6","c9","c10","c15","c13","c16"
"MTERF3",304,220,585,406,66,790,897,421,555,205,219,392,740,392,292,1122
"PTDSS1",2937,2318,6612,4408,495,8694,9331,8531,6949,1930,2016,3919,5722,3919,3397,23161
"LOC102724804",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"SDC2",3361,3050,8150,5754,791,11990,10474,3325,3845,2600,2697,4565,8980,4565,5079,16924
"CPQ",1508,1281,3735,2708,238,3351,4445,2912,3463,1040,1074,2621,3677,2621,1544,7093
"LOC101927066",0,4,12,18,0,7,18,1,2,2,4,1,6,1,7,10
"TSPYL5",734,673,2085,1303,212,2190,2130,1604,1128,493,696,1342,1978,1342,1199,3094
"SNORD3H",0,0,0,0,0,0,0,14,35,0,0,0,0,0,0,0
"MTDH",4669,4355,13181,7138,1015,15096,13517,6289,7328,3138,3684,7471,11406,7471,7251,28389
"LAPTM4B",1564,1456,4733,2962,355,5757,7269,2176,2289,1063,1224,2438,3806,2438,2138,11886
"MATN2",752,779,2054,1605,164,2805,3771,8059,7728,493,703,2057,2401,2057,1068,5488
"RPL30",13567,11236,26616,27913,6744,35950,45838,12444,16739,9023,8824,15867,33800,15867,16608,40953
"SNORA72",111,99,58,80,91,59,85,766,932,45,38,26,74,26,67,22
"ERICH5",16,25,90,46,2,71,80,42,95,12,15,16,57,16,48,189
"RIDA",538,365,924,798,69,664,1057,437,538,296,297,564,961,564,290,1246
"POP1",214,157,454,281,105,1110,737,632,755,130,222,323,650,323,535,898
"NIPAL2",2134,2054,5487,3588,275,4289,6119,1649,917,1499,2117,3118,5562,3118,2079,9686
"KCNS2",98,71,210,151,18,191,389,354,185,55,100,199,248,199,72,588
"STK3",940,805,2047,1651,113,2003,3308,1657,1832,655,753,1395,2327,1395,936,3637
"OSR2",4191,3452,10178,6639,393,6891,15026,16623,4537,2748,3221,6117,8798,6117,2520,23468
"VPS13B",2010,1535,5193,3663,562,6701,7261,4263,2302,1427,2032,4203,6502,4203,4065,7850
"MIR599",0,3,0,0,0,0,1,1,0,0,0,1,3,1,2,0
"MIR875",0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0
"COX6C",1784,1313,2968,3613,1151,4245,5767,2122,3361,1271,1140,1731,3871,1731,2319,4985
"RGS22",2,0,2,3,0,2,0,13,28,0,0,0,0,0,2,0
"SNORD77B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1273A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO43",11,10,18,4,0,13,28,14,19,4,12,8,9,8,8,32
"POLR2K",894,809,1783,1586,298,1972,2670,607,969,542,607,1245,2121,1245,912,4323
"SPAG1",39,42,138,93,14,211,168,99,153,29,46,99,127,99,101,489
"RNF19A",1349,1466,2992,2430,399,4388,4915,1996,3245,873,1515,2136,4338,2136,2847,8924
"MIR4471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD46",345,249,657,513,64,705,803,260,348,248,239,481,785,481,383,796
"SNX31",0,0,0,2,0,0,2,4,7,0,1,0,0,0,0,0
"PABPC1",4002,3533,14544,9968,1938,19794,15850,4767,2725,2919,3132,8229,13790,8229,8828,19494
"MIR7705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YWHAZ",5985,5284,19312,13004,2069,30544,31250,2681,2581,4576,4577,9308,17724,9308,13504,32765
"FLJ42969",0,0,0,0,0,0,0,8,10,0,0,0,2,0,0,0
"ZNF706",249,252,875,787,68,901,1257,179,190,215,252,533,948,533,359,2603
"NACAP1",2,0,2,2,0,7,0,86,74,1,0,0,1,0,0,2
"GRHL2",0,1,0,0,0,1,2,33,34,0,0,0,2,0,4,0
"NCALD",77,74,192,138,21,189,400,203,80,45,64,104,191,104,110,434
"LOC104054148",0,4,0,0,0,0,4,2,1,0,0,3,0,3,0,0
"MIR5680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RRM2B",4017,3292,8978,6017,607,7583,10816,1660,2924,2586,3087,5273,8401,5273,4005,12472
"UBR5-AS1",18,3,26,11,2,13,17,4,4,4,10,12,27,12,4,110
"UBR5",3957,3355,10465,6889,981,12794,13377,7739,6646,2728,3965,7926,11443,7926,6802,18774
"ODF1",0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0
"KLF10",1294,9891,3350,20955,1820,2575,60071,2129,5464,843,5444,2187,25976,2187,14377,64419
"AZIN1",5551,5237,11961,9170,1370,14545,17453,5357,6581,3654,5456,8011,14352,8011,9468,27353
"AZIN1-AS1",44,30,131,116,13,127,125,64,66,39,34,76,112,76,39,1060
"ATP6V1C1",1669,1428,4438,2747,422,4903,6796,2276,1960,1163,1525,2812,4370,2812,2421,7112
"LINC01181",1,0,0,0,0,4,1,2,7,2,2,2,0,2,0,0
"BAALC-AS2",1,0,2,0,0,0,2,1,6,0,4,2,3,2,0,19
"BAALC",601,511,1231,1298,66,1630,3755,2233,2446,388,539,904,1525,904,576,10429
"MIR3151",0,0,0,1,0,1,0,4,0,0,1,0,5,0,2,0
"BAALC-AS1",12,8,18,13,3,18,21,26,15,6,12,14,26,14,21,42
"FZD6",1850,1478,4073,2623,381,5986,6264,2204,2737,1373,1533,2707,4207,2707,3038,6906
"SNORD173",2,2,4,4,0,2,11,8,1,1,0,3,5,3,10,0
"CTHRC1",3006,2622,6435,5440,665,8093,9407,7240,9703,2070,2264,4669,7193,4669,3067,19662
"SLC25A32",1028,1253,2356,1933,201,3718,3979,1136,1647,625,1162,1337,3472,1337,1901,2450
"DCAF13",990,826,2069,1495,227,3118,2941,1115,1964,645,749,1098,2182,1098,1261,4539
"LOC105375690",8,4,7,13,0,4,13,2,3,4,6,7,6,7,2,10
"RIMS2",29,12,40,43,5,64,102,56,68,19,16,45,63,45,61,158
"DCSTAMP",0,0,0,2,0,0,0,11,6,0,0,0,0,0,0,0
"DPYS",5,4,11,17,0,0,4,11,9,4,9,0,25,0,0,0
"LRP12",672,678,2139,1141,320,2728,2443,1007,1258,472,596,1227,1856,1227,1585,2821
"ZFPM2",33,42,71,45,7,202,346,250,100,19,27,45,105,45,83,460
"ZFPM2-AS1",5,4,13,18,0,17,55,9,50,5,12,19,18,19,12,90
"OXR1",1625,1526,3680,2589,303,3962,4375,1542,1736,1166,1471,2396,4002,2396,2120,6083
"ABRA",3,2,2,2,0,6,2,9,17,0,2,10,2,10,10,10
"ANGPT1",3448,2571,8437,4201,581,7329,8358,1732,2663,2166,2393,4615,5591,4615,3721,11695
"RSPO2",84,87,238,155,14,111,350,217,214,63,87,155,254,155,106,865
"EIF3E",11119,9098,21048,17731,1870,25851,35436,9779,15152,7169,7446,12953,22996,12953,9326,28620
"EMC2",725,557,1521,1046,273,1372,1681,600,1186,454,500,1169,1678,1169,672,2578
"TMEM74",2,0,6,0,0,2,4,15,19,0,0,0,2,0,0,0
"TRHR",0,2,0,0,0,2,0,7,4,0,0,1,4,1,2,0
"NUDCD1",757,603,1763,1070,183,2793,2167,688,1076,443,564,1124,1823,1124,1321,1873
"ENY2",1046,973,2334,2066,556,2846,3458,1346,1621,774,794,1332,2536,1332,1466,3772
"PKHD1L1",2,0,0,2,0,0,0,58,60,0,0,0,4,0,2,0
"EBAG9",314,253,632,494,92,725,808,322,311,206,232,493,648,493,378,1501
"SYBU",58,41,70,61,4,104,122,215,374,22,32,56,45,56,47,180
"LOC100132813",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"KCNV1",0,0,0,0,0,0,0,16,19,0,0,0,2,0,2,0
"LINC01608",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC01609",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CSMD3",0,0,0,0,0,0,2,51,65,0,0,4,0,4,1,0
"MIR2053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPS1",2066,1863,5303,3306,489,5474,5013,3040,2245,1383,2154,4155,5791,4155,3380,4977
"LINC00536",0,0,4,5,0,2,2,4,1,0,2,4,0,4,0,0
"EIF3H",3767,3113,8887,6649,1202,9438,12562,8398,7560,2588,2368,3891,7788,3891,4533,10627
"LOC105375713",6,3,14,7,0,6,7,0,0,4,6,11,17,11,10,8
"UTP23",962,814,2113,1394,144,2285,2618,702,979,692,794,1313,2252,1313,1134,2665
"RAD21",8019,6645,17934,10821,1465,26239,20271,11917,8551,5735,6339,10077,16028,10077,11658,23979
"RAD21-AS1",9,3,35,25,0,57,50,21,14,6,7,12,37,12,4,126
"MIR3610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARD",342,264,650,510,107,1278,390,397,673,254,189,343,779,343,605,1119
"SLC30A8",2,0,0,0,0,0,1,30,34,0,0,3,0,3,0,0
"MED30",177,225,359,330,30,515,646,144,355,114,181,213,475,213,189,4543
"EXT1",7472,6919,21505,13921,2442,29126,27423,23298,19879,4874,5916,12226,20828,12226,13263,26228
"SNORD168",5,3,10,6,3,8,10,0,0,1,0,5,8,5,17,6
"SAMD12",1811,1422,4575,2214,485,5331,5075,945,726,1235,1222,2451,3343,2451,3206,5235
"SAMD12-AS1",3,4,5,0,0,12,10,7,0,5,3,14,5,14,2,28
"TNFRSF11B",13624,10214,35888,15945,1926,29671,26253,16483,17298,9594,10569,17480,26932,17480,13124,15631
"COLEC10",47,55,150,96,8,105,219,128,186,57,66,102,151,102,48,358
"LOC101927513",0,2,5,1,0,0,10,1,0,0,0,3,3,3,2,0
"MAL2",15,6,26,16,0,12,40,20,25,3,2,6,32,6,4,34
"MIR548AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOV",917,665,2638,1325,143,1757,4975,1588,1378,605,715,1325,2077,1325,750,10158
"ENPP2",3189,2550,10001,4957,750,7167,12846,4906,3604,1944,2895,6452,7173,6452,4113,10402
"TAF2",1275,1079,3126,1984,255,4006,3704,1811,1636,788,1190,1870,3125,1870,2037,4598
"DSCC1",31,25,80,82,8,73,144,32,79,26,28,54,100,54,43,482
"DEPTOR",16,25,48,39,5,38,56,34,48,9,6,32,39,32,3,150
"COL14A1",259,242,684,713,25,434,1627,6523,5858,181,315,931,1354,931,218,3304
"MRPL13",734,618,1406,1322,170,1707,2177,990,1859,498,459,790,1509,790,660,2919
"MTBP",106,64,170,161,20,176,217,100,90,30,98,116,191,116,68,267
"SNTB1",780,713,2307,1393,136,2308,2776,1108,1187,522,610,1150,1812,1150,1017,4770
"LOC101927543",0,0,6,7,4,7,2,12,1,0,0,9,8,9,4,0
"HAS2",116,112,424,308,19,348,524,340,315,86,153,335,495,335,276,1490
"HAS2-AS1",19,18,43,61,5,46,70,47,38,2,18,31,64,31,20,173
"LOC105375734",2,6,3,8,0,2,4,0,0,2,4,3,5,3,2,19
"LINC01151",3,2,5,6,0,7,13,1,0,1,2,2,1,2,2,26
"ZHX2",398,262,957,599,66,1045,1040,970,398,256,334,470,857,470,478,917
"DERL1",1557,1592,4249,3111,424,5407,5690,1839,1589,1055,1332,2492,5013,2492,2322,10692
"TBC1D31",254,233,583,422,18,550,819,393,457,186,218,299,525,299,231,934
"FAM83A",0,0,0,0,0,0,2,33,24,0,0,0,2,0,2,0
"FAM83A-AS1",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"MIR4663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8orf76",66,71,177,201,21,250,359,229,424,32,70,99,234,99,104,817
"ZHX1-C8orf76",4,11,14,36,2,26,41,7,34,2,3,5,21,5,8,33
"ZHX1",1331,1270,3408,2014,263,3686,3512,2061,2656,895,1193,2018,2952,2018,1950,3714
"ATAD2",580,485,1608,848,103,1274,1425,572,799,373,512,976,1466,976,595,2515
"MIR548D1",2,0,2,1,0,2,0,0,0,0,1,8,1,8,0,0
"WDYHV1",154,141,287,328,51,469,595,232,259,97,89,167,404,167,227,1340
"FBXO32",396,267,950,508,42,549,1407,938,967,228,311,698,705,698,334,3398
"KLHL38",0,0,3,0,0,0,4,16,13,0,0,0,0,0,1,0
"ANXA13",0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0
"FAM91A1",714,635,2404,1624,347,2991,3055,754,1368,421,625,1670,2606,1670,1826,4188
"FER1L6",3,7,20,3,1,2,14,46,18,0,5,18,26,18,0,30
"FER1L6-AS1",0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0
"FER1L6-AS2",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"LOC101927588",0,2,3,0,0,1,2,3,0,0,1,2,2,2,0,6
"TMEM65",533,529,1251,868,142,1626,1603,921,1333,302,464,798,1406,798,883,3814
"TRMT12",348,303,854,609,83,826,891,760,1295,205,289,538,1033,538,401,1098
"RNF139-AS1",43,39,66,55,19,49,93,50,39,29,86,75,138,75,79,281
"RNF139",1205,1357,2896,2542,322,3246,4499,1334,1935,875,1075,1531,3065,1531,1721,7114
"TATDN1",227,250,761,638,92,985,1453,281,494,172,208,502,826,502,309,2145
"MIR6844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDUFB9",1152,939,2263,2068,473,2711,4025,2749,3695,768,671,1130,2617,1130,1185,5393
"MTSS1",47,36,121,69,13,83,118,94,109,38,83,69,83,69,82,233
"MIR4662B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4662A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00964",0,0,2,0,0,0,0,27,19,0,0,0,2,0,0,4
"ZNF572",44,13,74,23,2,74,43,66,111,34,22,69,36,69,17,127
"LOC105375744",2,0,2,11,12,0,8,0,0,3,2,1,8,1,6,8
"SQLE",1803,1876,5104,3700,1147,17365,10028,2939,2834,1092,1750,3093,5475,3093,7691,11021
"WASHC5",1003,841,3661,2374,383,3452,5155,2739,1770,775,823,2031,3322,2031,1878,6834
"NSMCE2",650,534,1124,1064,177,1261,2426,1088,1560,443,478,900,1361,900,692,1509
"TRIB1",372,1699,1032,3246,250,1031,16184,682,1173,176,1475,662,4692,662,4754,47162
"LINC00861",0,0,0,2,0,0,0,7,9,0,0,0,0,0,0,0
"LOC101927657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM84B",199,108,348,198,34,697,306,142,82,132,94,239,293,239,249,704
"PCAT1",2,0,0,0,0,0,0,0,2,0,0,3,2,3,2,0
"PCAT2",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"PRNCR1",27,24,4,6,7,4,6,9,17,12,43,4,12,4,39,0
"CASC19",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCAT1",0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0
"CASC21",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"CASC8",2,4,8,11,2,14,2,4,5,2,0,8,7,8,3,0
"CCAT2",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"POU5F1B",0,0,2,2,0,8,4,7,6,2,2,2,2,2,2,4
"CASC11",4,10,7,5,2,18,11,10,4,2,4,3,16,3,5,21
"MYC",677,1141,1666,2175,281,2534,5347,2868,5085,471,1468,1049,4679,1049,3366,17795
"PVT1",192,204,462,425,52,651,793,615,873,128,156,410,609,410,328,811
"MIR1204",11,10,10,14,3,20,22,11,7,6,23,16,37,16,17,8
"TMEM75",19,7,14,16,4,47,39,15,4,8,7,32,34,32,38,61
"MIR1205",0,4,1,4,0,2,1,1,1,0,1,1,9,1,6,27
"MIR1206",2,4,1,3,2,6,11,0,0,4,4,4,2,4,9,35
"MIR1207",0,2,2,2,0,6,7,8,0,0,0,2,6,2,7,98
"MIR1208",0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0
"LINC00824",1,0,2,3,0,2,1,2,4,2,2,0,7,0,0,0
"LINC00976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00977",0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
"CCDC26",0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"MIR3686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSDMC",3,6,8,3,4,2,2,11,29,0,4,2,4,2,2,10
"FAM49B",456,510,1174,871,149,1866,1982,639,780,358,366,737,1382,737,850,4379
"MIR5194",0,4,2,0,1,0,4,1,5,0,0,0,1,0,2,0
"ASAP1",1613,1569,5268,3239,754,5063,5882,2242,1600,1031,1330,2663,4439,2663,3480,8871
"ASAP1-IT2",2,16,10,9,16,33,32,6,1,4,4,19,9,19,27,22
"ASAP1-IT1",5,11,11,35,19,62,87,15,20,5,8,39,97,39,49,78
"ADCY8",0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0
"EFR3A",2954,2443,7524,4544,790,9718,9319,2694,2454,1928,2274,4898,6994,4898,4990,19845
"OC90",0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0
"HHLA1",0,0,0,0,0,0,0,16,22,0,0,0,4,0,0,0
"KCNQ3",125,122,457,178,15,121,170,45,25,67,101,271,233,271,60,198
"HPYR1",0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0
"LRRC6",24,20,57,42,2,22,35,36,24,11,10,36,51,36,13,30
"TMEM71",22,13,76,20,8,37,90,15,20,6,11,26,38,26,19,70
"PHF20L1",1345,1200,3514,1848,286,3457,3736,2080,2473,827,1377,2195,3522,2195,1987,7485
"TG",22,8,28,49,2,10,20,30,45,0,15,34,66,34,14,34
"SLA",6,11,26,24,0,6,0,14,14,4,8,26,19,26,0,4
"MIR7848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WISP1",130,127,380,222,9,58,70,92,71,75,103,221,253,221,67,126
"NDRG1",1712,1770,4672,3903,447,4695,6093,5624,4861,1118,1425,3392,4755,3392,2120,11067
"ST3GAL1",1243,1041,3445,2200,330,3980,4223,4035,2177,739,1347,2868,4057,2868,2217,6649
"LOC105375773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927798",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927822",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ZFAT",313,283,892,577,58,1015,971,1054,641,203,250,536,831,536,424,1797
"ZFAT-AS1",3,1,7,1,0,13,12,6,5,0,2,4,9,4,9,21
"MIR30B",0,0,0,0,1,3,3,0,5,0,0,4,3,4,1,0
"MIR30D",2,0,2,0,0,0,0,3,6,0,0,1,0,1,0,0
"NCRNA00250",2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
"LOC101927845",0,0,2,0,0,0,0,8,12,0,0,0,0,0,0,0
"LINC01591",0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
"KHDRBS3",287,224,711,487,92,1520,1020,585,634,204,210,329,630,329,496,2755
"LOC101927915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM135B",0,0,0,0,0,0,0,29,28,0,0,0,5,0,0,0
"COL22A1",0,0,2,2,0,0,0,43,45,0,0,0,7,0,0,0
"KCNK9",0,0,0,0,2,0,0,6,5,1,2,0,0,0,0,0
"TRAPPC9",261,247,1001,599,78,859,1100,610,346,148,313,605,796,605,380,2010
"PEG13",7,3,28,20,0,18,36,13,2,11,6,38,50,38,14,58
"CHRAC1",414,468,1196,778,109,1184,1507,560,162,236,285,511,1036,511,639,1840
"AGO2",910,797,2942,1764,425,4232,3811,2725,1276,679,1091,2192,3189,2192,2587,7185
"PTK2",1364,1118,3006,2322,367,3883,4254,3085,4023,869,1062,1865,3151,1865,1737,6721
"DENND3",303,231,732,522,105,1205,1220,504,492,156,320,422,819,422,761,3553
"SLC45A4",169,145,421,250,37,427,415,315,224,100,134,254,427,254,192,1803
"LOC105375787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"LINC01300",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GPR20",10,6,26,10,0,12,8,10,7,12,5,20,21,20,14,54
"PTP4A3",42,54,136,140,9,208,238,219,151,38,33,81,173,81,88,796
"MROH5",0,0,0,4,0,0,0,14,15,0,0,1,4,1,0,0
"MIR1302-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4472-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00051",0,0,0,0,0,0,0,7,9,0,0,0,0,0,2,0
"TSNARE1",171,165,456,341,24,629,727,603,628,110,148,286,486,286,237,3304
"ADGRB1",2,0,20,10,0,3,5,15,28,6,0,9,12,9,4,23
"ARC",8,22,3,57,10,12,1901,25,47,2,9,34,105,34,361,12657
"LOC101928087",0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
"JRK",463,308,1259,644,102,1134,1164,1552,1050,296,380,971,1209,971,708,2241
"PSCA",35,32,81,63,10,125,197,192,110,29,22,57,115,57,53,629
"LY6K",103,106,327,301,71,403,612,162,240,79,96,227,481,227,192,3846
"LOC100288181",43,38,103,95,9,100,267,69,47,32,41,62,135,62,165,448
"THEM6",183,157,498,335,16,755,764,497,409,115,112,345,440,345,194,3260
"SLURP1",0,0,2,2,2,0,1,5,1,0,0,4,0,4,2,7
"LYPD2",0,0,0,1,0,0,2,2,1,0,0,0,0,0,1,0
"LYNX1",770,600,2360,1438,153,2437,2099,2201,1169,457,542,1496,2215,1496,1020,4960
"LY6D",0,0,4,2,0,3,4,6,7,2,2,0,0,0,0,5
"GML",0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
"CYP11B1",0,0,0,1,0,0,0,9,9,0,0,0,2,0,0,0
"CYP11B2",0,0,0,2,0,0,0,7,3,0,0,0,2,0,0,0
"LOC100133669",147,134,304,324,30,253,390,302,260,87,81,179,353,179,118,1109
"CDC42P3",2,0,4,0,0,2,7,2,4,4,4,24,7,24,2,0
"LY6E",8396,7939,26306,21252,1719,34930,41105,17847,10190,5302,5336,15800,26212,15800,8750,160550
"C8orf31",74,62,170,98,4,173,160,90,55,57,56,98,148,98,54,211
"LY6H",0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
"GPIHBP1",0,0,0,1,0,2,0,22,13,0,0,0,6,0,0,0
"ZFP41",162,103,546,304,27,416,433,338,251,78,130,354,403,354,163,2006
"GLI4",159,116,360,220,18,475,480,159,170,88,90,148,332,148,105,2598
"MINCR",77,48,139,118,26,64,137,41,82,35,32,92,193,92,25,50
"ZNF696",168,121,539,257,22,551,327,251,321,124,153,396,452,396,189,1970
"TOP1MT",179,165,562,403,77,767,610,1436,1305,131,200,398,624,398,257,1838
"RHPN1-AS1",3,2,6,10,0,2,2,12,28,5,0,0,4,0,2,0
"RHPN1",35,22,62,58,2,54,82,66,84,20,29,68,54,68,11,338
"MAFA-AS1",0,0,2,2,0,0,5,0,0,0,4,2,7,2,1,0
"MAFA",6,1,2,4,0,2,4,17,30,0,2,0,2,0,0,34
"ZC3H3",331,263,873,486,57,784,698,361,187,164,308,512,680,512,329,4275
"SNORD149",0,1,0,2,0,0,0,0,18,2,0,0,1,0,2,1
"GSDMD",1154,972,2632,2126,175,3004,3151,2496,3108,629,855,1907,2912,1907,849,12900
"MROH6",30,32,79,87,2,77,176,98,62,25,48,63,131,63,30,760
"NAPRT",608,537,1725,1345,55,2079,2213,811,1019,353,509,989,1755,989,484,13781
"EEF1D",7271,6084,17165,12360,1773,31269,25886,26255,33916,4236,5105,10728,17505,10728,9833,93555
"TIGD5",203,134,597,231,16,1100,399,533,684,136,177,443,646,443,239,4342
"PYCRL",189,200,609,447,57,973,725,462,437,172,221,401,639,401,270,2894
"TSTA3",711,757,1795,1711,123,2477,2951,2192,2460,508,549,1118,2175,1118,648,5732
"ZNF623",809,531,1899,929,145,2572,1664,1776,1229,563,672,1296,1629,1296,1014,3549
"ZNF707",121,124,292,238,23,314,314,280,230,62,123,192,346,192,122,892
"BREA2",4,0,0,6,0,3,8,20,12,5,4,10,7,10,1,16
"CCDC166",0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
"LOC101928160",0,0,0,4,0,1,0,0,1,0,0,4,4,4,0,0
"MAPK15",10,9,24,7,0,5,15,31,39,0,10,17,34,17,7,72
"FAM83H",244,212,633,308,43,802,573,386,221,122,160,316,456,316,255,2919
"MIR4664",0,5,20,6,0,8,5,10,1,5,6,2,8,2,7,52
"FAM83H-AS1",13,5,12,19,2,23,11,16,12,2,5,8,10,8,20,12
"LOC105375800",0,0,3,0,0,2,1,1,0,0,2,0,0,0,0,0
"SCRIB",1599,1356,4802,2712,203,5426,4067,3056,2529,915,1181,2669,4221,2669,1554,24631
"MIR937",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"PUF60",1594,1560,4019,3208,467,7058,6271,5134,6200,982,1281,2452,4407,2452,2257,13785
"NRBP2",1426,1245,2653,1921,111,2330,2686,1324,811,773,1332,1655,3053,1655,896,7285
"MIR6845",3,3,3,2,0,1,2,0,2,4,5,6,13,6,0,0
"EPPK1",3,9,12,12,0,24,15,48,58,5,1,16,23,16,13,171
"PLEC",28351,19688,84515,36177,5440,88392,71239,43194,28364,16332,23698,54508,69210,54508,38639,507163
"MIR661",3,8,3,5,2,1,11,0,6,0,21,10,39,10,4,95
"PARP10",838,720,1975,1550,182,3373,2219,1352,1696,447,503,1539,2206,1539,1024,12112
"GRINA",3346,3075,9467,6512,249,12046,12350,8483,2997,2053,2364,3685,8727,3685,2765,39874
"SPATC1",3,1,2,3,0,3,2,6,9,3,1,12,3,12,2,9
"OPLAH",414,333,972,586,38,2062,1108,890,725,172,307,590,837,590,456,5474
"MIR6846",0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0
"EXOSC4",231,182,665,448,31,1011,709,543,742,172,164,388,627,388,227,4881
"MIR6847",1,1,1,6,0,1,1,3,0,1,2,1,0,1,1,0
"GPAA1",1249,1234,3802,2484,235,5342,4744,2222,1925,850,1030,2573,3808,2573,1363,10639
"CYC1",1343,1158,3104,2949,385,5614,5544,3869,4082,841,902,2132,3772,2132,1619,8730
"SHARPIN",647,564,1729,1389,68,2364,2289,2207,1395,427,498,1056,1740,1056,633,8158
"MAF1",2190,2020,6535,4895,429,9169,8789,7144,6717,1391,1531,3729,6439,3729,2331,27062
"WDR97",53,67,82,131,1,55,129,55,124,29,71,101,140,101,12,392
"HGH1_dup1",27,21,51,49,7,135,92,4,0,14,15,39,58,39,31,158
"MROH1",539,406,655,392,111,743,796,1009,473,298,471,458,515,458,453,3283
"MIR7112_dup1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCX_dup1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGH1_dup2",4,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0
"BOP1",188,151,188,134,24,280,203,356,268,117,127,126,240,126,147,1481
"MIR7112_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCX_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSF1",1108,1098,3628,2362,184,4767,4317,4640,1624,770,859,1785,3281,1785,1189,23905
"DGAT1",366,350,1065,806,31,1247,1378,748,454,236,353,613,1149,613,349,2952
"MIR6848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCRT1",0,0,0,0,0,1,2,11,23,0,0,4,4,4,0,6
"TMEM249",15,6,35,17,0,23,22,30,17,4,9,35,40,35,4,8
"FBXL6",188,173,552,371,23,531,638,319,333,122,137,338,466,338,147,1855
"SLC52A2",897,947,2725,2174,191,5036,3261,2948,3861,585,772,1674,3111,1674,1139,14374
"LOC101928902",0,4,0,0,0,0,0,1,2,0,0,0,2,0,0,0
"ADCK5",260,223,508,449,35,648,753,327,470,142,163,438,572,438,173,3206
